Title,Company,Min. Years of Exp. Required,Fresh Grad/Less Exp.,Location,Classification,Salary,Posted Date,Job ID,URL,Frequent Words,Job Description
Junior Business Analyst - Insurance MNC - Agile Environment,TEKsystems,1,False,"Central, Central and Western District",Information & Communication Technology,"$25,000 - $31,000 per month",2024-08-27,78412704,https://hk.jobsdb.com/job/78412704,"['This Business Analyst', 'Insurance\xa0• Experience', 'Agile', 'Elicit']","Our client, a leading insurance company, is looking for a Business Analyst to join their team. This Business Analyst will join there compensation team. They are looking for detail minded business analysts to join the early stages of the project. This individual will be able to work on projects from end-to-end, great team culture with and within an agile methodology. . You should have:• Minimum 1-2 years of business analyst experience within in Insurance • Experience in web and app related projects in insurance industry is preferable• Experience in Agile methodology and ways of working• Good analytical, problem-solving and communication skills and disciplined with project scheduling• Well organized and attentive to details• Self-initiated and have a strong drive to learn• Able to clearly articulate business processes and ideas verbally (English, Cantonese & Mandarin) and in written (English & Traditional Chinese)• Ability to work independently• Degree holder in information systems, business administration or related subjects Your new role:• Responsible for executing technical and business projects across multiple stakeholders, developing analysis to support process and project improvements• Build consensus and facilitate discussion with related stakeholders and IT development teams• Elicit user requirements, perform impact analysis, propose and document the end-to-end solutions• Define test strategy, construct test plan and manage testing team on test execution to ensure the end product meets the business objectives• Present systems training to business users• Own, investigate and resolve systems and project issues You will get: • Flexible Working Hours  • WFH Arrangement• Open Culture• Competitive Remuneration • Medical Insurance "
Business Analyst,Formica (Asia) Ltd,4,False,Eastern District,Consulting & Strategy,,2024-08-27,78414717,https://hk.jobsdb.com/job/78414717,"['Business Development Director', 'CFO', 'Finance', 'BI', 'Power-BI', 'TableauExposure', 'AsiaInternational']","Formica (Asia) Limited, the world’s best known decorative material manufacturer is looking for high calibers to fill up the following position: Job Responsibilities:Project management. Lead and support initiatives on various topics from commercial strategy to operational optimization to product design and portfolio optimization. Develop approach and implementation plan, engage resources across organization, coordinate work between internal and external stakeholders, monitor execution, identify and resolve bottlenecksData analysis. Perform various project related and ad-hoc analyses – including market mapping and competitive analysis, pricing benchmarking, sales performance, marginality and influence by factors, business cases for investments with payback, etc. Source and organize information from systems, people, internal and external data sources. Analyze, summarize insights, translate to actionsInteractions. Work closely with Business Development Director, CEO, CFO, as well as local leaders on strategic topics – proactively engage and interface with various people in the organization at all levels and functions, mobilize cross-functional work without direct authority, plan and arrange workshops and reviews, tailor communications to different audiencesField work. Get exposed to company operation on the ground, including field observations and interviews – including customers, suppliers, sales reps, and operations; travel may be involvedContent. Create content for presentations, reviews, and communication within and outside the organization, bring structure and clarity to written communication tailored to the audience Requirements:Academic master’s degree (financial, technical, or commercial - possibly in combination with an MBA)Experience 4-7 years of work experience with growing responsibilityIndustry expertise related to interior design, materials, or furniture manufacturing is preferredFunctional experience. We are interested to consider the candidates with Finance or Operational backgrounds. Although large part of work is expected on Commercial topics, we have cross-functional projects and need to stay connected with our manufacturing plants too. And we also aim to build a balanced set of capabilities among Business Analysts – to complement and learn from each otherData analytics. Skills in data engineering and BI tools are beneficial – for example data processing with Alterix, Phyton, etc. or visualization tools like Qlik Sense, Power-BI, TableauExposure to GBA market and culture is required – the role is largely focused on GBA markets support and development, but may also involve projects for AsiaInternational exposure. Experience in a Multinational company, or living and working abroad for several years is a plusLanguage: Fluency in Chinese and English is essential, HK Cantonese is a plusOthers self-reflective, fact-based, humble, non-political, enjoy analytical challenges and at the same time understand that the difference is made in the execution, mature, transparent about what goes well and what does not, and they take responsibility, finishing what they start"
Associate Business Analyst,Wheelock Properties (Hong Kong) Limited 會德豐地產 (香港) 有限公司,3,False,Southern District,Information & Communication Technology,,2024-08-27,78404780,https://hk.jobsdb.com/job/78404780,"['Wheelock Properties', 'Associate Business Analyst', 'Organize UAT & go live activitiesCarry', 'Web & Mobile App', 'Wheelock Properties', 'the Wheelock & Wharf Group']","Welcome to Wheelock Properties (Hong Kong) Limited, a leading real estate development company dedicated to creating exceptional living and working environments that redefine excellence.  With a strong commitment to quality, innovation, and customer satisfaction, we strive to inspire and enrich the lives of our residents and stakeholders.  As we continue to grow, we are seeking a talented Associate Business Analyst to join our dynamic team and contribute to the success of our comprehensive development projects in Hong Kong.Responsibilities:Manage project releases and implementation for both mobile and web applicationsMaintain good project quality by working closely with internal and external customersProject coordination and vendor managementAssist in collecting user requirements and transform into functional requirementsManage and provide support throughout the whole SDLC cycle for mobile app or web projectsConduct user trainings and Organize UAT & go live activitiesCarry out post go live reviewAssist in sales launchesRequirements:High Diploma or above in IT or related disciplineMinimum 3 years’ experience in IT project coordination or software/mobile app implementationKnowledge & experience in Web & Mobile App development will be an advantageStrong analytical and problem solving skills, and able to work independentlySelf-Motivated and a good team playerGood communication skills As a highly qualified candidate, you will have the opportunity to make a significant contribution to our mission of creating exceptional experiences for our customers.  Join us and discover a unique and professional environment where your skills and expertise will be valued and nurtured, allowing you to flourish and advance in your career.  Let's work together to shape the future of our industry and make a lasting impact.  Interested parties please apply with full resume.   For further information on Wheelock Properties (Hong Kong) Limited, please visit our website: www.wheelockpropertieshk.com.We are an equal opportunities employer and invite applications from all qualified candidates.  Personal data collected will be treated in strict confidence and handled by authorized persons for recruitment-related purposes only within the Wheelock & Wharf Group.  Applicants not hearing from us within two months may consider their applications unsuccessful."
Business Analyst at Green Tomato Limited,SmartHire by SEEK,1,False,"Kowloon Bay, Kwun Tong District",Information & Communication Technology,,2024-08-27,78202739,https://hk.jobsdb.com/job/78202739,"['Business Analyst', 'Asian Pacific', 'IT/ Mobile', 'LeaveBank', 'Candidate', 'email)The Jobsdb SmartReward Program', 'SmartReward', 'the Jobsdb SmartReward Program - Terms & Conditions#SmartReward', 'SmartHire']","Our client “Green Tomato Limited"" is seeking a Business Analyst join their company!    What you’ll be doing?    Work closely with stakeholders and designers to create the best user experience and information architects to build customer journeys, wireframes, and prototypesConduct stakeholders/ users reviews to validate business objectives and ensure a positive experience of the product and service throughout useResponsible for functional design of the process in the IT solutions, acting as the first point-of-contact for clarificationCreate high level and detailed functional and non-functional requirement or specification to capture business needs, rules, and detailsArticulate gaps and issues, provide options and justification with analysis to drive for an informed decisionBe a contributor to the creation of best practicesOversea/ Outdoor may require, including PRC or Asian Pacific regions countries Who are they looking for?  At least 1-year work experience in IT/ Mobile application development. Exposure in any of the banking, finance, insurance, the retail business industry will be an advantageGood command in English, Cantonese MandarinExcellent business analytical, verbal, and written communications skillsPassionate about creating experiences and bringing insights to clients through research, analytics, design, and deliveryExperience in a client-facing position at an agency or consulting firm or equivalent experience in product managementPractical experience in agile/ SCRUM methodologies alike  Why you should consider this opportunity:  Our client offers an attractive remuneration package with fringe benefits to the right candidate, such as  Performance Bonus Discretionary BonusMedical AllowanceBirthday LeaveBank holidays   Working Hour:  Monday to Friday (9:00 am - 6:00 pm)  Ready to join this role? Apply now to submit your resume with date of availability and expected salary to us!   All information received will be kept in strict confidence and will be treated only for employment-related purposes.  Refer A Candidate and Earn $2,000 (Click this link to share referral details via email)The Jobsdb SmartReward Program is applicable to this job opening. Applicants who successfully secure this job or refer a successful candidate, will receive the SmartReward as advertised. *By applying to or referring a candidate to this job, you agree to the Jobsdb SmartReward Program - Terms & Conditions#SmartReward #SmartHire"
Business Analyst,Cathay Pacific Airways Ltd,3,False,"Tung Chung, Islands District",Information & Communication Technology,,2024-08-27,78400654,https://hk.jobsdb.com/job/78400654,"['the data & insight', 'BI', 'data & insight', 'Business Analytics, Mathematics, Statistics,', 'Information Management', 'data & analytics', 'Revenue Management', 'Customer', 'SQL', 'Equal Opportunities Employer', 'Personal Information Collection Statement']","Role IntroductionReports to: Analytics ManagerDepartment: DGT - DigitalGenerate actionable quantitative insight to support the data & insight driven culture in decision making processesProactively support business streams in applying and integrating the right set of metrics, analytics model and visualization into day-to-day processesEnhance analytics power with new data, derived insight, tools and training with proper testing and requirement setsEnsure quality & data governance policies and processes to uphold security, quality and value of the analytics assets.Key ResponsibilitiesProvide analytics support services to various business partners.Design with business streams to frame business questions, perform analysis, design visualization of results, and derive analytical models to meet business objectivesDevelop complex BI solutions including reports, scorecards and dashboards, leveraging data processing and visualisation toolsProactive in bring in new data & insight, support data model design and data definitions to ensure proper integration of internal and external sourcesManage enhancements on tools to advance the analytical power, including analytics requirement, testing, prepare training material and deliveryTrain and facilitate business streams to conduct analysis to facilitate day-to-day decision makingManage Data Quality by implementing quality metrics & regular monitoring, working on incidents to maintain accessibility and consistency of data as well as readiness of related analytics capabilitiesEnforce data governance practices to uphold the value of the data access, within the company and external partiesRequirementsTertiary education in Business Analytics, Mathematics, Statistics, Information Management, Operations Research or related disciplines;  Minimum 3 years of working experience relating to data & analytics with a good understanding of at least one of the following business areas: Revenue Management, Customer management, Service Delivery, Sales & Marketing or Finance management Strong analytical abilities, numerate and familiar with statistical algorithms, ideally with exposure in developing optimization modelsExpert in using analytics & query tools e.g. Alteryx and data modelling techniquesProficiency in data visualization tools, ideally Qlikview, PowerBIProficiency in scripting languages e.g. Python, SQL, SASTeam player with strong communication & interpersonal skills, able to share effectively across different business streamsCurious, meticulous, self-motivated and strong continuous improvement mindsetWorking knowledge in managing vendors and suppliers and project management a plusApplication Deadline: 10 Sep 2024Personal & Application InformationCathay Pacific is an Equal Opportunities Employer. Personal data provided by job applicants will be used strictly in accordance with our personal data policy and for recruitment purposes only. Candidates not notified within eight weeks may consider their application unsuccessful. All related information will be kept in our file for up to 24 months. A copy of our Personal Information Collection Statement will be provided upon request by contacting our Data Protection Officer."
Business Analyst at ACT Solutions Limited (Fresh graduates are welcome),SmartHire by SEEK,,False,Southern District,Information & Communication Technology,,2024-08-27,78049956,https://hk.jobsdb.com/job/78049956,"['Business Analyst', 'UAT', 'Tertiary Education', 'Information Technology', 'MandarinGood', 'Microsoft', 'Microsoft', 'email)The Jobsdb SmartReward Program', 'SmartReward', 'the Jobsdb SmartReward Program - Terms & Conditions#SmartReward', 'SmartHire']","Our client ""ACT Solutions Limited"" is seeking Business Analyst to join their company! What you’ll be doing?  Participate in system implementation and provide consulting services to multi-national customers including business requirement analysis, training and process design, UAT and Go-live support.Collaborate with the key users, developers and technical teams throughout the project implementation to ensure a smooth transition.Who are they looking for? Tertiary Education or above in Information Technology, Computer Science or Business-related disciplinesHands-on Experience in business application implementation Good command in written and spoken English, Cantonese and MandarinGood communication and presentation skillsInitiative and able to work independentlyA good team player.Why you should consider this opportunity:Our client offers an attractive remuneration package with fringe benefits to the right candidate, such as  5 days work week Performance bonusMedical insuranceAttractive compensation package12 days of Annual LeaveOpportunity to pick up Microsoft advanced technologyAble to obtain Microsoft qualified certificationExcellent career development Ready to join us? Apply now to submit your resume with date of availability and expected salary to us!   Refer A Candidate and Earn $2,000 (Click this link to share referral details via email)The Jobsdb SmartReward Program is applicable to this job opening. Applicants who successfully secure this job or refer a successful candidate, will receive the SmartReward as advertised. *By applying to or referring a candidate to this job, you agree to the Jobsdb SmartReward Program - Terms & Conditions#SmartReward #SmartHire"
"Business Analyst - Leading Insurance Company - Digital Projects, WFH",TEKsystems,1,False,"Kwun Tong, Kwun Tong District",Information & Communication Technology,"$30,000 - $43,000 per month",2024-08-27,78412651,https://hk.jobsdb.com/job/78412651,"['Job HighlightsBusiness AnalystLeading Insurance CompanyFrontend', 'MNC', 'BA', 'have:1-2 years', 'BA', 'experienceA', 'Business Requirement SpecificationsReview IT', 'ITExecute UAT']","Job HighlightsBusiness AnalystLeading Insurance CompanyFrontend projects exposure Agile MethodologyWFH Job DescriptionOur client, a leading insruance MNC, is looking for a Business Analyst to join their team to work on their digital initiatives. This BA will work under an agile environment with cross functional teams. Earning valuable experience with insurance projects. The ideal candidate will have:1-2 years BA experienceA proactive, passionate personalityExperience working in frontend projects (web/app/agency systems)Experience working in insurance industryFluency in Canto and English  Responsibilities:Perform business analysis and requirement gathering to support business initiatives and project or related issuesCollect, analyze and document business needs and requirements in Business Requirement SpecificationsReview IT documents to ensure alignment of understanding of requirements between business end users and ITExecute UAT to support project roll-outAssist in project coordination and administrative tasks on needed basisCommunicate with different stakeholders, BUs, vendors, developers"
"Business Analyst, Life Business Solutions",Zurich Insurance (Hong Kong),1,False,"Quarry Bay, Eastern District",Information & Communication Technology,,2024-08-27,78399710,https://hk.jobsdb.com/job/78399710,"['Life New Business', 'UAT', 'Life Insurance', 'Life New Business and/or Underwriting', 'Global Recruitment Management System']","Job AccountabilitiesResponsible for the project implementations and system enhancements for Life New Business and Underwriting solutions, including but not limited to business analysis and UAT servicesEnsure the assigned deliveries and initiatives are completed timely and within budgetAssist to maintain Day 1 and Day 2 life product task lists and work with relevant parties for implementationReview, identify and propose solutions to close any gaps arisen due to new or changes in company or regulatory guidelinesFollow project handling best practices to ensure deliveries and initiatives are well-conceived and aligned with company directionsParticipate in vendor selection and review their service quality and performance according to SLASupport the continuous improvement in overall services and mitigate risks by adopting Six Sigma methodologiesPrepare and maintain the project progress updates and other statistic reports for management review Job QualificationsDegree holder with minimum 3 years of relevant experience in Life Insurance operations functions, especially Life New Business and/or Underwriting operationsExperience in project management and familiar with project lifecycleKnowledge of Six Sigma is an advantageProficiency in MS Offices, Visio, project management toolsStrong communication and interpersonal skills; able to deliver concept and ideas to technical and non-technical peopleGood analytical and problem-solving skillsGood command of both written and spoken English and Chinese Interested parties please simply click ""Apply"" to access our ""Global Recruitment Management System"" for submitting your application.You are invited to visit our web site at: http://www.zurich.com.hk"
"Business Analyst - Insurance - WFH, MNC, Great Exposure",TEKsystems,1,False,"Ngau Tau Kok, Kwun Tong District",Information & Communication Technology,"$25,000 - $35,000 per month",2024-08-27,78412494,https://hk.jobsdb.com/job/78412494,"['MNC', 'UAT', 'have:1-2 years', 'Business Requirement SpecificationsReview IT', 'ITExecute UAT']","Job DescriptionOur client, a leading insurance MNC, is looking for multiple Business Analysts to join their team. This team will work on a multi-year large scale project with regards to their internal systems. These BAs will analyse user requirements, draft users stories, algin business knowledge between users and IT, execute UAT, and coordinate different stakeholders. The ideal candidate will have:1-2 years BA experience Insurance/finance backgroundExperience working in systems, compensation system would be a bonusSolid skillsets in gathering requirements, documentation and testingA proactive, passionate personalityExperience working with vendors and stakeholders  Responsibilities:Perform business analysis and requirement gathering to support business initiatives and project or related issuesCollect, analyze and document business needs and requirements in Business Requirement SpecificationsReview IT documents to ensure alignment of understanding of requirements between business end users and ITExecute UAT to support project roll-outAssist in project coordination and administrative tasks on needed basisCommunicate with different stakeholders, BUs, vendors, developers"
Business Analyst,TEKsystems,,False,Hong Kong Island,Information & Communication Technology,,2024-08-24,78335373,https://hk.jobsdb.com/job/78335373,['MNC'],"TEKsystems is seeking a highly motivated Business Analyst to join a leading global MNC institution in Hong Kong. As a Business Analyst, you will play a crucial role in identifying and analyzing business requirements, designing effective solutions, and driving process improvements across their global operations. Responsibilities:Elicit, analyze, and document business requirements from stakeholders across various functionsTranslate business needs into detailed functional and technical specificationsDevelop process models, user stories, and other artifacts to effectively communicate requirementsCollaborate with cross-functional teams, including IT, operations, and subject matter experts, to design and implement solutionsConduct gap analyses, feasibility studies, and cost-benefit analyses to support decision-makingDevelop and maintain project documentation, including business cases, project plans, and status reportsMonitor project progress, identify risks and issues, and recommend mitigation strategiesProvide post-implementation support and conduct user acceptance testingContinuously look for opportunities to optimize business processes and enhance operational efficiencyQualifications:Strong analytical and problem-solving skills with the ability to think strategicallyExcellent communication and stakeholder management skillsProficiency in business analysis tools and techniques, such as process mapping, data modeling, and requirements managementStrong understanding of enterprise-wide business processes and systemsFamiliarity with various industries and business domainsAbility to work independently and as part of a team"
