Title,Company,Min. Years of Exp. Required,Fresh Grad/Less Exp.,Location,Classification,Salary,Posted Date,Job ID,URL,Frequent Words,Job Description
Technical Writer/Associate Technical Writer,Hong Kong Disneyland,,True,"Lantau Island, Islands District",Information & Communication Technology,,2024-08-24,78327104,https://hk.jobsdb.com/job/78327104,"['OG', 'Bachelor', 'Translation, Language, Communications', 'ChineseStrong', 'Microsoft', 'ExcelCandidate', 'Associate Technical Writer']","Develop and update Operating Guides (OG), training materials and supporting documentsEdit and proofread English and Chinese writing pieces to ensure they conform to the appropriate documentation styles and nomenclatureTranslate English and Chinese writing pieces as requiredConduct job shadowing and on-the-job training as necessaryRequirements:Bachelor's degree, preferably in Translation, Language, Communications or related disciplinesGood command of written and spoken English and ChineseStrong interpersonal skills, with the ability to collaborate effectively across teamsWell-organized, meticulous and good at multitaskingExperience in editing, writing or translationProficient in Microsoft Word and ExcelCandidate with less experience will be considered for the position of Associate Technical Writer"
Asia Technology Editor - Hong Kong,Bloomberg L P,5,False,Hong Kong,Banking & Financial Services,,2024-09-03,78571604,https://hk.jobsdb.com/job/78571604,"['Description & Requirements', 'Bloomberg News', 'AI', 'AI', 'Bachelor']","

 Asia Technology Editor - Hong Kong
 



 
 Description & Requirements
 


Bloomberg News is one of the biggest financial and business news organizations in the world. We lead the way in breaking news and providing analysis on financial markets and big business, from daily coverage through to in-depth features. We are known for our quality, accuracy and ability to deliver news investors can use. It's what keeps us inventing and re-inventing, all the time.
We are seeking an editor to join our team covering technology in Asia. You will play a key role in helping team leaders manage more than a dozen reporters from Japan and South Korea to China, Singapore and India. You will help the team produce top-notch scoops and enterprise about the people, products and companies at the heart of a tech industry changing the world. This will include AI pioneers, internet companies, smartphone makers, chip manufacturers, startups and venture capital firms. Your responsibilities will include generating and shaping ideas, editing copy, coaching and mentoring reporters and collaborating with journalists across the organization. You are passionate about uncovering and explaining the biggest technology trends shaping our generation, including the way AI will transform society and the fallout from the US-Chinese geopolitical conflict. Knowledge of the technology industry and company financials is essential. An understanding of economies and financial markets is a plus.
We’ll trust you to:

Help reporters to break news and uncover exclusive information on their beats
Work with reporters to develop feature stories about the companies and culture of Asia technology
Collaborate with other editors on the technology team and beyond to expand our impact
Maintain composure under intense deadline pressure
Be committed to the best journalistic practices, sound judgment and a willingness to learn

You’ll need to have:

At least 5 years of business news editing experience
Experience working in a real-time news environment
An interest in Asia, technology and how the region is evolving
Fluency in both spoken and written English
Proven success in generating story ideas
Proven success in producing outstanding copy
Proven success in mentoring and coaching reporters
Bachelor's degree or equivalent experience
Demonstrated continuous career growth within an organization

We’d love to see:
Fluency in one of the region’s key languages, particularly Mandarin or Japanese
Life at Bloomberg is many things, but it’s never dull. We’re a truly global business with a truly diverse workforce. We pride ourselves on being open, inclusive and collaborative, and provide a work environment that inspires our employees to be their best. We offer competitive compensation, comprehensive healthcare coverage, and programs to support you and your family through different life stages, from parental leave to generous retirement savings plans.
If this sounds like you:
Apply if you think we're a good match. We'll get in touch to let you know what the next steps are, but in the meantime feel free to have a look at this: www.bloomberg.com/professional
Learn more about our office and benefits:
Hong Kong | www.bloomberg.com/hongkong
"
Technical Writer (Up to 40k/monthly),Randstad Hong Kong Limited,3,False,Central and Western District,Information & Communication Technology,$25k - $40k p.m.,2024-08-17,78136035,https://hk.jobsdb.com/job/78136035,"['Bachelor', 'Microsoft Suite', 'InDesign']","about the company.A Global Luxury Retailer Brandabout the job.Collaborate with key stakeholders across various departments to develop and maintain comprehensive documentation, including policies, standard operating procedures, manuals, and work instructions that adhere to our strict standards.Provide expert guidance on technical writing best practices, contributing to the development and refinement of our global document management policy and style guide.Conduct technical writing training sessions for cross-functional partners, empowering them to create effective and consistent documentation that aligns with our standardsConduct thorough reviews and edits of new and existing policies, procedures, and work instructions, ensuring accuracy, clarity, and consistency across all materials.skills & experiences required.Bachelor's degree in a related field, coupled with technical writing certification or relevant coursework.3-5 years of experience as a technical writer or editorProficient in Microsoft Suite, Acrobat, and InDesign for document creation and maintenance.Ability to translate technical documentation into Simplified ChineseStrong organizational skills, ability to prioritize tasks, and manage multiple projects under tight deadlines.Excellent communication and interpersonal skills, with a proven ability to collaborate effectively with cross-functional teams. If you're interested in this exciting opportunity please don't delay and click 'APPLY NOW' or for more information, reach out to Russell Regalado on russell.regalado@randstad.com.hk"
Marketing Communications Executive,The Hong Kong Standards and Testing Centre Ltd,7,False,Tai Po District,Marketing & Communications,,2024-08-29,78430491,https://hk.jobsdb.com/job/78430491,"['the MARCOMS Department', 'IG', 'B2C.Translate', 'Marketing, Communications', 'DSE Level', 'IG', 'IG Reels', 'Human Resources Department', 'STC', 'Dai Wang Street', 'NTWelcome']","Job DescriptionThis is mainly a copywriting position in the MARCOMS Department.Ideally, you love writing all types of copy for marketing purposes and are able to adapt your tone and style depending on the medium.  You will also be proficient in Chinese and English writing as well as translation.  Additionally, having a marketing sense, a passion for the discipline, and the ability to thrive under challenging deadlines are crucial.Your independent streak enables you to work alone with minimal instructions.  Simultaneously, your ability to collaborate effectively and efficiently as part of a team is essential.  And your attention to detail and relentless pursuit of perfection propel you to consistently deliver high-quality results.Preferred industry experience for this role includes a background in the consumer goods and TIC sectors.  Moreover, you will have solid copywriting and marketing experience in multinational corporations; and working with staff at all levels across various departments, both locally and internationally.  You will also have a deep appreciation for the dedication it takes to excel in copywriting for marketing purposes.Responsibilities:Write Chinese and English marketing collaterals mainly for B2B, including (but not limited to):  Press releasesSocial media posts, e.g., FB, IG, LinkedIn, TwitterFlyers / Advertisements / BannersNewslettersReportsSpeechesScriptsInterview write-upsWrite Chinese and English marketing materials for the local and international markets - mainly B2B with some B2C.Translate marketing materials from English to Chinese and vice versa.Proofread marketing materials in English and Chinese, and suggest improvements.Interview clients for a company publication.Handle media enquiries, coordinate press interviews, and prepare press materials.Liaise with internal and external parties to help execute marketing campaigns, promotion activities, and events.Assist in the planning and implementation of marketing and event management, and marketing logistics.Perform ad hoc marketing assignments as required.Requirements:Education:Degree in Marketing, Communications, Journalism, or a related field.Superior Chinese writing, editing, and translation skills.Near-native level English (DSE Level 5 or above / HKCEE Level B or above / IELTS 7 or above).Work Experience:2 - 3  years of experience in copywriting for marketing.1 - 2 years of related marketing experience.Able to communicate technical information and maintain high standards.Events and trade show experience.MNC experience, and consumer goods and TIC industries background.Organised and able to effectively juggle multiple tasks.Highly responsive, self-motivated, and able to meet tight deadlines.Strong sense of responsibility, and the ability to take the initiative.Have a solid network of online and offline media contacts, and understanding of media.Languages:Spoken Cantonese (native), Putonghua (fluent), and English (fluent).Written Traditional Chinese (native), Simplified Chinese (near-native) and English (near-native).Portfolio:Please provide a tri-lingual (HK Chinese (T. Chi), Mainland Chinese (S. Chi), and English) portfolio, which optimally contains all of the following B2B materials:Press releasesVarious social media posts (e.g., FB, IG, IG Reels, LinkedIn, X/Twitter, YouTube)Articles / listiclesCorporate video scripts Interested parties please send your resume with availability, present salary and expected salary to our Human Resources Department by Clicking ""Apply Now"" / By Fax: 2664 4353/ By Post: STC, 10 Dai Wang Street, Tai Po Industrial Estate, Tai Po, NTWelcome to visit our company website www.stc.group for corporate information.(All personal data collected are for recruitment purposes only.)"
Senior Content Writer (Digital Marketing & Social Media),Rabbit Studio Limited,,False,"Ngau Tau Kok, Kwun Tong District",Marketing & Communications,,2024-08-13,78032387,https://hk.jobsdb.com/job/78032387,"['Rabbit Studio', 'their business.2024 Agency', 'Best Social Media Agency Gold & Local Hero Award-', 'Best Social Media Agency', 'Best Production Agency', 'Translation, Communications', 'InsuranceEnjoy']","Rabbit Studio has been an award-winning agency from Hong Kong since 2015. We are a team of creative and innovative professionals specialising in design and digital strategy. Our goal is to help our clients create a creative, unique marketing strategy best suited for their business.2024 Agency of the Year Winner- Best Social Media Agency Gold & Local Hero Award- Best Independent Agency Silver Award- Best Production Agency Silver Award2023 Agency of the Year Winner- Best Social Media Agency Bronze Award- Best Production Agency Silver Award2022 Agency of the Year Winner- Best Independent Agency Bronze AwardWe are now growing our team and looking for talents to join us - Responsibilities::Co-design O2O campaign and social media projects with our clients and internal teamsIdeation on social media content pillar and daily feedsMonitor social media trends and the competitive landscape and proactively share learnings and best practices with the wider teamPrepare creative content and copywriting for the digital marketing projectsWork closely with other project team members on assisting other projects e.g. digital advertising, interactive project, and brandingAssist social media channels and campaigns performance reviewPerform ad hoc duties as assignedRequirements:: Graduated in Languages, Translation, Communications, Journalisms, Advertising and/or related disciplinesExperience in a creative agency is a plusExperience in video production is a plusSelf-motivated and able to work independentlyGood presentation and communication skillsFast learner, passionate about the industryEager to learn, cheerful, detail-oriented, and politeDemonstrates a strong work ethic and tasks ownership of assigned tasksTakes initiative and shows a proactive approach to identifying and resolving content-related issues or challengesBenefits::5-day work weekWork from home policy13-day annual leaveBirthday leaveFlexible working hoursMedical InsuranceEnjoy the agency environment and cultureIf you are interested in this position, please submit the following with your application:ResumeAvailable start dayCurrent SalaryExpected SalarySamples of your work/portfolioFor details of our company, please visit our website at rabbitstudio.net"
"Digital Copy Writer (Financial Institution, 50K)",PERSOLKELLY Hong Kong Limited,5,False,"Central, Central and Western District",Information & Communication Technology,"$35,000 - $50,000 per month",2024-08-23,78310960,https://hk.jobsdb.com/job/78310960,"['Digital Product Copywriter', 'Bachelor', 'Marketing, Communications', 'Hong Kong Limited']","Job Description:We are seeking a talented and experienced Digital Product Copywriter to join our dynamic team. In this role, you will be responsible for crafting compelling, user-centric content for our digital banking products and platforms.Key Responsibilities:Content Creation:Write clear, concise, and persuasive copy for our digital banking products, including websites, mobile apps, landing pages, emails, and other digital touchpoints.Develop engaging product descriptions, feature highlights, and call-to-action content to drive user engagement and conversions.Collaborate with the product, design, and marketing teams to ensure brand consistency and messaging alignment across all digital channels.User Experience Optimization:Conduct user research and analyze customer feedback to gain insights into user needs and preferences.Optimize product copy and microcopy to enhance the overall user experience and improve usability.Continuously test and iterate on content to improve its effectiveness and drive desired user actions.Content Strategy and Governance:Contribute to the development of a comprehensive digital content strategy that supports the bank's overall marketing and business objectives.Establish and maintain content guidelines, style guides, and best practices to ensure consistency and quality across all digital touchpoints.Collaborate with the content marketing team to align product-focused content with broader brand and campaign initiatives.Continuous Learning and Development:Stay up-to-date with industry trends, best practices, and emerging technologies in digital copywriting and content marketing.Attend relevant training sessions, workshops, and conferences to enhance your skills and knowledge.Share your expertise and insights with the wider marketing team to foster a culture of continuous learning and improvement.Qualifications:Bachelor's degree in Marketing, Communications, English, or a related field.5 +years of experience as a digital copywriter or content creator, preferably in the financial services or banking industry.Strong understanding of user experience principles and the ability to create content that resonates with the target audience.Excellent writing and editing skills, with a keen eye for detail and the ability to craft engaging, error-free copy.Proficiency in content optimization and A/B testing to measure and improve content performance.Familiarity with content management systems and digital marketing tools.Collaborative mindset and the ability to work effectively in a team-based environment.Passion for the banking industry and a commitment to staying up-to-date with financial trends and regulations.PERSOLKELLY Hong Kong Limited: Employment Agency Licence No. 75536PERSOL Hong Kong: Employment Agency Licence No. 75503"
Medical Writer,Vital Base International Ltd,,False,Kwai Tsing District,Healthcare & Medical,,2024-08-16,78128327,https://hk.jobsdb.com/job/78128327,['Biomedical Sciences']," Associate Medical WriterJob description and responsibilitiesComing up with strategies with clients, mainly pharmaceutical companies and medical device manufacturers, to produce medical marketing materials and projects Attending medical seminars and performing interviews with physicians Applying biomedical knowledge across a variety of therapeutic areas to support medical projects or events Producing articles on medical discoveries for medical journals and/or marketing platformsJob requirements University graduate major in Biomedical Sciences Excellent command of written and spoken Chinese and English Knowledge in medical marketing is definitely an advantageCharacters of the preferred candidate A good team player Able to work independently A quick learner Be responsibleThis permanent position comes with competitive salary, discretionary bonus, 5-day work week, public holidays and fringe benefits. The right candidate will work in a friendly environment with a team of energetic and creative people with different backgrounds.   "
Technical Officer,Arcana Water Seepage Investigation Company Limited,1,False,Kwun Tong District,Construction,"$30,000 - $35,000 per month",2024-08-31,78179470,https://hk.jobsdb.com/job/78179470,"['Water Seepage Investigation Report', 'Retirees']","Job Requirements:Degree/ Associate Degree/ Diploma/ Higher Certificate/ Higher Diploma in either one of the following subjects: -Building Studies;Building Surveying;Building Technology;Architectural Studies;Structural Engineering;Civil Engineering;Min. 1 to 2 years of relevant post graduation local experience;Able to work independently. Job Duties:To monitor and carry out indoor water seepage investigation works at residential / commercial or industrial premises;Investigation method including but not limited to moisture content monitoring, infrared thermography, color water test and ponding test, etc.; Responsible to sign witness statement on Water Seepage Investigation Report. Remarks:6 days work per week 10 days annual leave per yearPerformance bonus Retirees are welcome to apply."
Project Engineer ( Electrical/Electronic/Mechatronic/Computer Engineering ),Osmium Consulting Group Limited,,True,Tuen Mun District,Engineering,"$18,000 - $25,000 per month",2024-09-03,78565791,https://hk.jobsdb.com/job/78565791,"['Electronic, Electrical', 'Computer Engineering', 'MS Office', 'CantoneseGood']","ResponsibilitiesResponsible for project coordination of the system integration projectParticipate in site construction and system design workAttend project meetings with consultants and other contractorsPrepare system schematic diagrams, proposal, and submission documentsMonitor design and installation to ensure compliance with the contract specificationsLiaise with the factory/suppliers to ensure on-time delivery RequirementsDegree holder in Electronic, Electrical, Mechatronic, Computer Engineering or related disciplines.Well-versed in MS Office applicationsGood knowledge of technical writingGood command of English, Mandarin, and CantoneseGood presentation, communication, and interpersonal skillsOutgoing and able to work as a team playerHolder of driving license is preferredFresh graduates are also welcome"
Consulting - Financial Services - Business Transformation - Manager,EY,,False,Hong Kong Island,Consulting & Strategy,,2024-08-31,78495874,https://hk.jobsdb.com/job/78495874,"['Consulting – Financial Services – Business Transformation', 'Ernst & Young Advisory Services Limited', 'EY', 'The OpportunityThe Business Transformation', 'Wholesale Banking', 'Asset Management and Insurance', 'Financial Services', 'Business Transformation', 'Financial Services', 'EY', 'Business Transformation', 'Financial Services', 'TechnologyDemonstrated']","Consulting – Financial Services – Business Transformation – Manager – Ernst & Young Advisory Services Limited – Hong Kong At EY, you’ll have the chance to build a career as unique as you are, with the global scale, support, inclusive culture and technology to become the best version of you. And we’re counting on your unique voice and perspective to help EY become even better, too. Join us and build an exceptional experience for yourself, and a better working world for all. The OpportunityThe Business Transformation team helps clients to solve their most challenging strategic problems: setting the strategic vision, defining and assessing transformation architecture, defining their digital client strategy, designing new customer and employee experiences, partnering on developing target operating model and capabilities within organizations, adjusting their long-term business mix. In addition, we bring domain expertise in program delivery, governance and assurance. Our teams work across our clients’ front, middle and back offices as well as at the industry level to drive performance improvement across a variety of financial service institutions including Retail Banking, Wholesale Banking, Asset Management and Insurance. Your key responsibilities:Work closely with the Service Leadership team (Partners, Directors and Senior Managers) in helping grow the competency. Bringing its vision to life through supporting the leadership team with business development activities, client relationships and account management, development of point of views, preparing client proposals, and supporting go to market campaignsSupport and lead large scale cross functional projects and operational transformations within the Financial Services sectorSupport the leadership team interface with clients at all levels of an organization to help them solve their most challenging questions and support the Business Transformation practice in developing new offerings and thought leadership to take to market, enhancing our capabilities and servicesAnalyze and provide recommendation to client personnel on strategic initiatives and transformationsMotivate and develop a growing team to inspire them to deliver beyond their perceived potential, all the while establishing a strong foundation in Financial Services products, functions and processes Skills and attributes for successPossess strong analytical and problem-solving skills, and demonstrated knowledge in financial services: front, middle and back officeStrong program management experience with breadth of capability across delivery and change management with a focus on clear outcomesSelf-motivated and willing to ask probing questions to identify client opportunitiesPossess strong communication, presentation and technical writing skills to describe ideas, concepts and issues that involve interpretation, analysis and assessment of complex conceptual topicsPossess a self-starting attitude, an ability to think outside the box and thrive on new challengesAbility to develop and manage teams with diverse backgrounds and skillsets to deliver exceptional quality to clientsA relationship builder both in the industry, internally and remotely across geographies within EY’s global Business Transformation communityIntellectually curious, keeping on top of industry trends and potential for innovations To qualify for the role you must haveA bachelor’s or master’s degree in business or technology disciplinesSuccessful track record in the Financial Services industry ideally gained through a top tier consultancy or in the industry at a top tier bank or Insurance provider for a minimum of 6 yearsComprehensive understanding of front to back operations of the market and its evolving relationship with TechnologyDemonstrated project or engagement management ability to plan and execute projects/engagements to a successful conclusionAdvanced written and verbal communication and presentation skillsExcellent leadership, teamwork and client service skillsDemonstrated integrity within a professional environment or comparable experience working as an advisor to financial services companiesFluency in English, with proficient verbal and written presentation skills Ideally, you’ll also haveA can-do spirit with intellectual curiosity and passionate to make a genuine difference while embedding meaningful, measurable change for clientsExcellent presentation and facilitation skills, appropriate for senior executive level clientsProven program and project management experience with ability to lead and mobilize cross-functional teams. Preference towards candidates with a track record in the provision of high-impact and complexity programs What working at EY offersSupport, coaching and feedback from some of the most engaging colleagues aroundOpportunities to develop new skills and progress your careerThe freedom and flexibility to handle your role in a way that’s right for you If you can confidently demonstrate that you meet the criteria above, please contact us as soon as possible. Join us in building a better working world. Apply now."
